                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.72355,                0.53212,                0.92824,                0.69875,                 0.5797,                 0.6068,                0.40527,                 1.1703,                 1.5251,                 1.0817,             0.00064362,             0.00064362,             0.00064362
                     52,                0.71318,                0.51604,                 0.9212,                0.68514,                 0.5926,                0.60475,                0.39427,                 1.1682,                  1.684,                 1.0865,             0.00063125,             0.00063125,             0.00063125
                     53,                0.70832,                0.51459,                0.91783,                0.69022,                0.57922,                0.58604,                0.38629,                 1.1882,                 1.8414,                 1.1006,             0.00061887,             0.00061887,             0.00061887
                     54,                0.68991,                 0.5042,                0.91846,                0.69172,                0.61068,                0.61573,                0.40932,                 1.1778,                 1.5994,                 1.0879,              0.0006065,              0.0006065,              0.0006065
                     55,                0.67918,                0.48567,                0.90241,                0.66502,                0.60875,                0.59123,                 0.3924,                 1.1546,                 1.5784,                 1.0802,             0.00059413,             0.00059413,             0.00059413
                     56,                0.66862,                0.49114,                0.90404,                 0.6846,                0.60755,                0.61595,                 0.4115,                 1.1497,                 1.5535,                 1.0848,             0.00058175,             0.00058175,             0.00058175
                     57,                0.66687,                0.49082,                0.90237,                0.66857,                0.61562,                0.61235,                0.40238,                 1.1543,                 1.5094,                 1.0844,             0.00056938,             0.00056938,             0.00056938
                     58,                0.66431,                0.49026,                0.90646,                0.68438,                0.61088,                0.61377,                0.40807,                 1.1694,                 1.5632,                 1.0879,               0.000557,               0.000557,               0.000557
                     59,                 0.6568,                 0.4736,                0.90309,                0.71885,                0.58242,                0.60387,                0.39748,                 1.1642,                 1.6689,                 1.0911,             0.00054463,             0.00054463,             0.00054463
                     60,                0.65109,                0.46409,                0.89715,                0.66991,                0.62789,                0.61917,                0.40996,                 1.1597,                 1.6671,                 1.0915,             0.00053225,             0.00053225,             0.00053225
                     61,                0.63249,                0.46048,                0.89378,                0.69116,                0.61532,                0.61243,                   0.41,                 1.1481,                 1.5471,                 1.0909,             0.00051988,             0.00051988,             0.00051988
                     62,                0.63596,                0.46495,                0.90023,                0.62068,                 0.6488,                 0.6071,                0.40112,                 1.1595,                 1.5623,                 1.0868,              0.0005075,              0.0005075,              0.0005075
                     63,                0.62973,                0.46124,                0.89466,                0.70647,                0.57615,                0.61546,                0.40802,                 1.1611,                 1.6011,                  1.096,             0.00049513,             0.00049513,             0.00049513
                     64,                0.61739,                 0.4491,                 0.8915,                0.68902,                0.60834,                0.61462,                0.40814,                 1.1727,                 1.6955,                 1.1055,             0.00048275,             0.00048275,             0.00048275
                     65,                0.63247,                0.46568,                0.89937,                0.64087,                0.63334,                 0.6183,                0.41232,                 1.1523,                  1.685,                 1.0921,             0.00047038,             0.00047038,             0.00047038
                     66,                0.60402,                0.44153,                0.88597,                0.74274,                0.58044,                0.61265,                0.40817,                 1.1489,                 1.5981,                 1.0894,               0.000458,               0.000458,               0.000458
                     67,                0.60853,                0.44491,                0.89116,                0.67199,                 0.5721,                0.60793,                0.40661,                 1.1573,                 1.7827,                 1.0989,             0.00044563,             0.00044563,             0.00044563
                     68,                0.58881,                0.43009,                0.88395,                0.64815,                0.60955,                0.60138,                0.40093,                 1.1602,                 1.6856,                 1.0989,             0.00043325,             0.00043325,             0.00043325
                     69,                0.58517,                0.42636,                0.88232,                0.67944,                0.63632,                0.63875,                 0.4275,                 1.1519,                 1.5948,                 1.0934,             0.00042087,             0.00042087,             0.00042087
